Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R  21 G  79    235    216.588      6.724		0.9256432783859813 | 0.07137396777501172

 R  21 G  80    233    216.336      6.786		0.9656432783859813 | 0.07137396777501172

 R  21 G  81    239    216.764      7.291		0.9256432783859813 | 0.07137396777501172

 R  21 G  82    243    216.796      6.821		0.9356432783859813 | 0.07137396777501172

 R  21 G  83    235     216.58      7.025		0.9456432783859813 | 0.07137396777501172

 R  21 G  84    235    216.576      6.585		0.9656432783859813 | 0.07137396777501172

 R  21 G  85    231    217.092      6.309		0.9656432783859813 | 0.07137396777501172

 R  21 G  86    235      217.0      6.851		0.9456432783859813 | 0.07137396777501172

 R  21 G  87    231    217.356      6.766		0.9656432783859813 | 0.07137396777501172

 R  21 G  88    235    216.864      6.681		0.9456432783859813 | 0.07137396777501172

 R  21 G  89    235    216.684      6.605		0.9456432783859813 | 0.061373967775011716

 R  21 G  90    233    216.584      6.919		0.9656432783859813 | 0.08137396777501171

 R  21 G  91    235    217.588      6.538		0.9456432783859813 | 0.061373967775011716

 R  21 G  92    233    217.468      6.346		0.9456432783859813 | 0.07137396777501172

 R  21 G  93    231    216.792      6.218		0.9456432783859813 | 0.061373967775011716

 R  21 G  94    233    216.716      6.505		0.9656432783859813 | 0.07137396777501172

 R  21 G  95    233    216.912      6.511		0.9556432783859813 | 0.061373967775011716

 R  21 G  96    233    217.784      6.268		0.9456432783859813 | 0.07137396777501172

 R  21 G  97    233    216.732      6.827		0.9556432783859813 | 0.061373967775011716

 R  21 G  98    233    217.188       6.46		0.9456432783859813 | 0.061373967775011716

 R  21 G  99    233     217.16      6.494		0.9456432783859813 | 0.07137396777501172

 R  21 G 100    233     217.46      6.663		0.9556432783859813 | 0.061373967775011716

 R  21 G 101    235      217.6      6.441		0.9656432783859813 | 0.061373967775011716

 R  21 G 102    235    217.476      6.754		0.9456432783859813 | 0.07137396777501172

 R  21 G 103    233    217.056      6.501		0.9456432783859813 | 0.07137396777501172

 R  21 G 104    231    217.376      6.197		0.9656432783859813 | 0.061373967775011716

 R  21 G 105    231    217.552      6.324		0.9456432783859813 | 0.061373967775011716

 R  21 G 106    231    217.404      6.545		0.9656432783859813 | 0.07137396777501172

 R  21 G 107    233    217.264       6.39		0.9656432783859813 | 0.051373967775011714

 R  21 G 108    235    217.208       6.51		0.9456432783859813 | 0.07137396777501172

 R  21 G 109    229      217.3      6.142		0.9656432783859813 | 0.061373967775011716

 R  21 G 110    233    217.476      6.087		0.9456432783859813 | 0.07137396777501172

 R  21 G 111    235    217.736      6.578		0.9656432783859813 | 0.07137396777501172

 R  21 G 112    233    217.708      6.181		0.9656432783859813 | 0.07137396777501172

 R  21 G 113    231     217.76      6.314		0.9656432783859813 | 0.061373967775011716

 R  21 G 114    235    217.888       5.86		0.9456432783859813 | 0.07137396777501172

 R  21 G 115    235    217.652      6.506		0.9556432783859813 | 0.07137396777501172

 R  21 G 116    231    217.692      6.029		0.9656432783859813 | 0.061373967775011716

 R  21 G 117    235    217.684      6.463		0.9656432783859813 | 0.061373967775011716

 R  21 G 118    231    217.656      6.124		0.9656432783859813 | 0.061373967775011716

 R  21 G 119    231    217.392      6.115		0.9656432783859813 | 0.051373967775011714

 R  21 G 120    233    217.768      6.058		0.9556432783859813 | 0.061373967775011716

 R  21 G 121    233    217.548      6.372		0.9756432783859813 | 0.061373967775011716

 R  21 G 122    231    217.732      6.444		0.9456432783859813 | 0.07137396777501172

 R  21 G 123    231    217.512      6.453		0.9656432783859813 | 0.08137396777501171

 R  21 G 124    231    217.536      5.708		0.9656432783859813 | 0.051373967775011714

 R  21 G 125    233    217.288      6.628		0.9556432783859813 | 0.061373967775011716

 R  21 G 126    233    217.796      6.361		0.9556432783859813 | 0.061373967775011716

 R  21 G 127    231    217.532      6.118		0.9556432783859813 | 0.061373967775011716

 R  21 G 128    235    217.436      6.319		0.9456432783859813 | 0.07137396777501172

 R  21 G 129    231    217.972      6.249		0.9656432783859813 | 0.08137396777501171

 R  21 G 130    231      217.4      5.848		0.9556432783859813 | 0.061373967775011716

 R  21 G 131    233    217.972      6.224		0.9656432783859813 | 0.061373967775011716

 R  21 G 132    231    217.596      6.363		0.9656432783859813 | 0.061373967775011716

 R  21 G 133    231    217.548      6.261		0.9656432783859813 | 0.08137396777501171

 R  21 G 134    229    217.664      6.185		0.9656432783859813 | 0.08137396777501171

 R  21 G 135    231     217.44      6.398		0.9656432783859813 | 0.08137396777501171

 R  21 G 136    235    217.812      6.166		0.9656432783859813 | 0.061373967775011716

 R  21 G 137    231    217.788      6.278		0.9656432783859813 | 0.061373967775011716

 R  21 G 138    231    217.396      6.259		0.9656432783859813 | 0.061373967775011716

 R  21 G 139    233    217.608      5.831		0.9656432783859813 | 0.061373967775011716

 R  21 G 140    231    217.364      6.501		0.9656432783859813 | 0.061373967775011716

 R  21 G 141    233      217.7      5.735		0.9656432783859813 | 0.061373967775011716

 R  21 G 142    231    217.844      6.491		0.9656432783859813 | 0.061373967775011716

 R  21 G 143    233     217.74      5.942		0.9656432783859813 | 0.061373967775011716

 R  21 G 144    235     217.68       6.29		0.9656432783859813 | 0.061373967775011716

 R  21 G 145    235    217.652      5.914		0.9556432783859813 | 0.07137396777501172

 R  21 G 146    233    217.512      6.131		0.9656432783859813 | 0.08137396777501171

 R  21 G 147    231    217.372      6.281		0.9656432783859813 | 0.061373967775011716

 R  21 G 148    231    218.296      5.849		0.9656432783859813 | 0.07137396777501172

 R  21 G 149    233    217.652      6.205		0.9556432783859813 | 0.07137396777501172

 R  21 G 150    233    218.044      6.274		0.9656432783859813 | 0.061373967775011716

 R  21 G 151    231    217.624      6.271		0.9656432783859813 | 0.061373967775011716

 R  21 G 152    233     217.62      6.201		0.9656432783859813 | 0.061373967775011716

 R  21 G 153    233      218.1      6.275		0.9656432783859813 | 0.061373967775011716

 R  21 G 154    233    218.052      5.733		0.9656432783859813 | 0.061373967775011716

 R  21 G 155    233    218.096      6.055		0.9656432783859813 | 0.061373967775011716

 R  21 G 156    231    217.736      6.224		0.9756432783859813 | 0.07137396777501172

 R  21 G 157    233    217.668       6.13		0.9656432783859813 | 0.061373967775011716

 R  21 G 158    231    218.056      5.993		0.9656432783859813 | 0.04137396777501171

 R  21 G 159    233    218.264      6.126		0.9756432783859813 | 0.07137396777501172

 R  21 G 160    231    217.996      5.842		0.9656432783859813 | 0.07137396777501172

 R  21 G 161    231    217.536      6.045		0.9656432783859813 | 0.061373967775011716

 R  21 G 162    231    217.396      6.068		0.9656432783859813 | 0.061373967775011716

 R  21 G 163    231     217.32      6.115		0.9756432783859813 | 0.061373967775011716

 R  21 G 164    235    217.708      6.137		0.9656432783859813 | 0.07137396777501172

 R  21 G 165    233     217.62      6.368		0.9656432783859813 | 0.07137396777501172

 R  21 G 166    235    217.508      6.517		0.9656432783859813 | 0.061373967775011716

 R  21 G 167    233    217.816      6.023		0.9656432783859813 | 0.061373967775011716

 R  21 G 168    231    217.664      5.885		0.9656432783859813 | 0.061373967775011716

 R  21 G 169    231    217.764      5.934		0.9656432783859813 | 0.061373967775011716

 R  21 G 170    231    218.004      6.135		0.9656432783859813 | 0.07137396777501172

 R  21 G 171    231    217.516       6.59		0.9556432783859813 | 0.061373967775011716

 R  21 G 172    231    217.688      5.966		0.9656432783859813 | 0.061373967775011716

 R  21 G 173    233    217.692      6.378		0.9656432783859813 | 0.061373967775011716

 R  21 G 174    231    217.448      5.914		0.9656432783859813 | 0.061373967775011716

 R  21 G 175    233    217.396      6.113		0.9556432783859813 | 0.061373967775011716

 R  21 G 176    233     217.84      6.058		0.9656432783859813 | 0.061373967775011716

 R  21 G 177    233    217.912      5.991		0.9656432783859813 | 0.061373967775011716

 R  21 G 178    235    218.152      5.856		0.9656432783859813 | 0.061373967775011716

 R  21 G 179    235    217.796      6.173		0.9656432783859813 | 0.061373967775011716

 R  21 G 180    233    217.868      5.847		0.9656432783859813 | 0.061373967775011716

 R  21 G 181    233    217.836        6.1		0.9756432783859813 | 0.061373967775011716

 R  21 G 182    231    217.668      5.875		0.9756432783859813 | 0.07137396777501172

 R  21 G 183    231    217.872      6.077		0.9756432783859813 | 0.07137396777501172

 R  21 G 184    231    217.848      5.962		0.9756432783859813 | 0.061373967775011716

 R  21 G 185    233    217.828      5.998		0.9656432783859813 | 0.061373967775011716

 R  21 G 186    233    218.468      5.522		0.9656432783859813 | 0.061373967775011716

 R  21 G 187    231      217.6      5.983		0.9656432783859813 | 0.07137396777501172

 R  21 G 188    233    217.892      6.104		0.9656432783859813 | 0.061373967775011716

 R  21 G 189    233    217.924      6.055		0.9656432783859813 | 0.061373967775011716

 R  21 G 190    231    218.168      5.975		0.9756432783859813 | 0.061373967775011716

 R  21 G 191    231    218.088      5.897		0.9656432783859813 | 0.07137396777501172

 R  21 G 192    233    218.104      5.679		0.9656432783859813 | 0.061373967775011716

 R  21 G 193    233    217.708       6.26		0.9656432783859813 | 0.061373967775011716

 R  21 G 194    231    217.888      5.953		0.9756432783859813 | 0.07137396777501172

 R  21 G 195    231    218.164      5.642		0.9756432783859813 | 0.061373967775011716

 R  21 G 196    235    217.888      6.039		0.9656432783859813 | 0.061373967775011716

 R  21 G 197    231    217.732      5.904		0.9756432783859813 | 0.061373967775011716

 R  21 G 198    233      217.5      5.574		0.9656432783859813 | 0.061373967775011716

 R  21 G 199    231    218.128      5.533		0.9656432783859813 | 0.061373967775011716

 R  21 G 200    231    218.248      5.605		0.9756432783859813 | 0.061373967775011716

 R  21 G 201    233    217.944      5.814		0.9656432783859813 | 0.07137396777501172

 R  21 G 202    233     218.48      6.037		0.9656432783859813 | 0.07137396777501172

 R  21 G 203    233    218.224        5.8		0.9656432783859813 | 0.07137396777501172

 R  21 G 204    233    218.144      6.058		0.9756432783859813 | 0.061373967775011716

 R  21 G 205    231    217.556      6.057		0.9756432783859813 | 0.061373967775011716

 R  21 G 206    233    217.768      5.794		0.9656432783859813 | 0.07137396777501172

 R  21 G 207    233    218.328      6.032		0.9756432783859813 | 0.061373967775011716

 R  21 G 208    231    217.696      5.899		0.9756432783859813 | 0.061373967775011716

 R  21 G 209    229    218.244      5.312		0.9756432783859813 | 0.061373967775011716

 R  21 G 210    237     218.34      5.768		0.9756432783859813 | 0.061373967775011716

 R  21 G 211    231    217.952      5.786		0.9756432783859813 | 0.061373967775011716

 R  21 G 212    235    217.908      5.506		0.9756432783859813 | 0.08137396777501171

 R  21 G 213    233    218.028      5.555		0.9856432783859813 | 0.061373967775011716

 R  21 G 214    235    218.336      5.632		0.9756432783859813 | 0.08137396777501171

 R  21 G 215    229      217.9      5.662		0.9756432783859813 | 0.07137396777501172

 R  21 G 216    233    217.912       5.28		0.9656432783859813 | 0.061373967775011716

 R  21 G 217    235    218.264      5.351		0.9756432783859813 | 0.061373967775011716

 R  21 G 218    231    218.128      5.492		0.9756432783859813 | 0.061373967775011716

 R  21 G 219    231    218.784      5.499		0.9756432783859813 | 0.07137396777501172

 R  21 G 220    233    218.376      5.671		0.9756432783859813 | 0.07137396777501172

 R  21 G 221    233    218.532      5.242		0.9756432783859813 | 0.07137396777501172

 R  21 G 222    235    218.344      5.571		0.9756432783859813 | 0.061373967775011716

 R  21 G 223    229    217.872      5.791		0.9756432783859813 | 0.061373967775011716

 R  21 G 224    231    218.692      5.365		0.9756432783859813 | 0.07137396777501172

 R  21 G 225    233     218.42      5.221		0.9756432783859813 | 0.08137396777501171

 R  21 G 226    235    218.248      5.585		0.9856432783859813 | 0.061373967775011716

 R  21 G 227    231    218.464       5.21		0.9856432783859813 | 0.061373967775011716

 R  21 G 228    231     218.48      5.678		0.9756432783859813 | 0.07137396777501172

 R  21 G 229    231    218.516      5.397		0.9756432783859813 | 0.07137396777501172

 R  21 G 230    229     218.26      5.342		0.9756432783859813 | 0.08137396777501171

 R  21 G 231    231    218.696      5.288		0.9856432783859813 | 0.07137396777501172

 R  21 G 232    233    218.668      5.663		0.9756432783859813 | 0.061373967775011716

 R  21 G 233    233      218.6      5.073		0.9856432783859813 | 0.07137396777501172

 R  21 G 234    231    218.828      5.088		0.9756432783859813 | 0.08137396777501171

 R  21 G 235    231    218.492      5.455		0.9856432783859813 | 0.061373967775011716

 R  21 G 236    233    218.736      5.194		0.9756432783859813 | 0.061373967775011716

 R  21 G 237    229    218.584      5.165		0.9756432783859813 | 0.061373967775011716

 R  21 G 238    231    218.324      5.091		0.9856432783859813 | 0.07137396777501172

 R  21 G 239    233    219.132      5.106		0.9856432783859813 | 0.07137396777501172

 R  21 G 240    231    218.732      5.453		0.9756432783859813 | 0.07137396777501172

 R  21 G 241    233     218.78      5.241		0.9856432783859813 | 0.07137396777501172

 R  21 G 242    231    218.612      5.257		0.9756432783859813 | 0.07137396777501172

 R  21 G 243    231    218.652      5.289		0.9856432783859813 | 0.061373967775011716

 R  21 G 244    229    218.432      5.222		0.9856432783859813 | 0.07137396777501172

 R  21 G 245    231    218.632      4.999		0.9856432783859813 | 0.061373967775011716

 R  21 G 246    231    218.716      4.906		0.9856432783859813 | 0.061373967775011716

 R  21 G 247    229    218.604      5.361		0.9756432783859813 | 0.061373967775011716

 R  21 G 248    229    218.676      4.959		0.9856432783859813 | 0.061373967775011716

 R  21 G 249    231      218.9      4.877		0.9856432783859813 | 0.061373967775011716

 R  21 G 250    233    219.004      5.401		0.9856432783859813 | 0.07137396777501172

 R  21 G 251    233    219.028      5.117		0.9856432783859813 | 0.051373967775011714

 R  21 G 252    231    218.888      5.161		0.9856432783859813 | 0.07137396777501172

 R  21 G 253    231    218.884      5.248		0.9756432783859813 | 0.07137396777501172

 R  21 G 254    231    218.644      4.839		0.9856432783859813 | 0.061373967775011716

 R  21 G 255    229    218.884      5.018		0.9756432783859813 | 0.061373967775011716

 R  21 G 256    231     218.84      4.732		0.9856432783859813 | 0.051373967775011714

 R  21 G 257    231    218.908      5.233		0.9856432783859813 | 0.051373967775011714

 R  21 G 258    231    218.392      5.023		0.9856432783859813 | 0.07137396777501172

 R  21 G 259    229    218.616      5.236		0.9856432783859813 | 0.051373967775011714

 R  21 G 260    229    218.636       5.28		0.9856432783859813 | 0.061373967775011716

 R  21 G 261    229    218.716      5.124		0.9856432783859813 | 0.051373967775011714

 R  21 G 262    231     218.66      5.576		0.9756432783859813 | 0.061373967775011716

 R  21 G 263    235    218.948      4.989		0.9856432783859813 | 0.051373967775011714

 R  21 G 264    231    218.604      5.465		0.9856432783859813 | 0.061373967775011716

 R  21 G 265    233     218.64      5.234		0.9756432783859813 | 0.061373967775011716

 R  21 G 266    231     218.56      5.304		0.9856432783859813 | 0.07137396777501172

 R  21 G 267    231     218.82      5.197		0.9756432783859813 | 0.061373967775011716

 R  21 G 268    229    218.356      5.307		0.9856432783859813 | 0.061373967775011716

 R  21 G 269    231     218.72      5.024		0.9756432783859813 | 0.061373967775011716

 R  21 G 270    233    218.532      4.962		0.9756432783859813 | 0.061373967775011716

 R  21 G 271    231    218.108      5.245		0.9756432783859813 | 0.061373967775011716

 R  21 G 272    231    218.924      5.139		0.9856432783859813 | 0.051373967775011714

 R  21 G 273    231    218.416      5.149		0.9756432783859813 | 0.061373967775011716

 R  21 G 274    231    218.692      5.133		0.9856432783859813 | 0.051373967775011714

 R  21 G 275    231      218.2      5.558		0.9756432783859813 | 0.061373967775011716

 R  21 G 276    231    218.172      5.293		0.9756432783859813 | 0.051373967775011714

 R  21 G 277    231    218.292      5.339		0.9856432783859813 | 0.051373967775011714

 R  21 G 278    231      218.8      5.456		0.9756432783859813 | 0.04137396777501171

 R  21 G 279    229    218.688       5.41		0.9956432783859813 | 0.08137396777501171

 R  21 G 280    233    218.908      5.313		0.9756432783859813 | 0.08137396777501171

 R  21 G 281    231     218.62      5.479		0.9856432783859813 | 0.07137396777501172

 R  21 G 282    231    218.828      4.975		0.9656432783859813 | 0.061373967775011716

 R  21 G 283    231    218.856      5.202		0.9856432783859813 | 0.061373967775011716

 R  21 G 284    229    218.544      5.177		0.9856432783859813 | 0.07137396777501172

 R  21 G 285    233    218.772      4.908		0.9856432783859813 | 0.061373967775011716

 R  21 G 286    233    219.408       5.15		0.9756432783859813 | 0.08137396777501171
